DataFrame,Model,RMSE,R2
PRU_target60,Spoly2_C10_g001,0.084259,-0.347341
PRU_target60,Spoly3_C1_gscale,0.456896,-40.950545
PRU_target60,Spoly3_C1_g001,0.080764,-0.212706
PRU_target60,GBRT_d3_lr001,0.088296,-0.607003
PRU_target60,GBRT_d3_lr005,0.104494,-1.509664
PRU_target60,GBRT_d4_lr001,0.091508,-0.754294
PRU_target60,GBRT_d4_lr005,0.104617,-1.491962
PRU_target60,GBRT_d5_lr001,0.09247,-0.793107
PRU_target60,GBRT_d5_lr005,0.103549,-1.396824
PRU_target60,MLP_64_relu_lr0005,0.181826,-8.483014
PRU_target60,MLP_64_relu_lr001,0.181769,-8.753562
PRU_target60,MLP_64_relu_lr005,0.188009,-10.371295
PRU_target60,MLP_64_relu_lr01,0.19027,-9.456878
PRU_target90,Srbf_C1_e01_gscale,0.198354,-4.270208
PRU_target90,Srbf_C1_e01_g001,0.104158,-0.181495
PRU_target90,Srbf_C1_e01_g01,0.157399,-2.429057
PRU_target90,Srbf_C1_e05_gscale,0.171861,-2.698583
PRU_target90,Srbf_C1_e05_g001,0.103693,-0.171533
PRU_target90,Srbf_C1_e05_g01,0.153279,-2.35629
PRU_target90,Srbf_C10_e01_gscale,0.280887,-10.893931
PRU_target90,Srbf_C10_e01_g001,0.124464,-0.834976
PRU_target90,Srbf_C10_e01_g01,0.271925,-10.060739
PRU_target90,Srbf_C10_e05_gscale,0.232017,-6.383929
PRU_target90,Srbf_C10_e05_g001,0.119408,-0.651781
PRU_target90,Srbf_C10_e05_g01,0.240389,-7.867097
PRU_target90,Srbf_C100_e01_gscale,0.353492,-17.451373
PRU_target90,Srbf_C100_e01_g001,0.187027,-3.915299
PRU_target90,Srbf_C100_e01_g01,0.437393,-30.742313
PRU_target90,Srbf_C100_e05_gscale,0.253554,-7.787761
PRU_target90,Srbf_C100_e05_g001,0.169204,-3.177935
PRU_target90,Srbf_C100_e05_g01,0.385742,-25.199643
PRU_target90,Slin_C01,0.106014,-0.224552
PRU_target90,Slin_C1,0.10783,-0.277217
PRU_target90,Slin_C10,0.108112,-0.28576
PRU_target90,Spoly2_C1_gscale,0.32051,-15.311478
PRU_target90,Spoly2_C1_g001,0.102335,-0.131772
PRU_target90,Spoly2_C10_gscale,0.404778,-27.190209
PRU_target90,Spoly2_C10_g001,0.115384,-0.519362
PRU_target90,Spoly3_C1_gscale,0.796881,-72.637337
PRU_target90,Spoly3_C1_g001,0.105488,-0.212962
PRU_target90,GBRT_d3_lr001,0.116085,-0.487509
PRU_target90,GBRT_d3_lr005,0.140899,-1.379998
PRU_target90,GBRT_d4_lr001,0.12053,-0.632947
